"","POLLSTER","START","END","SAMPLE","POPULATION","DEMPCT","REPPCT","OTHERPCT","ELAPSED","RECWGT","BIAS","WEIGHT","SAMPWEIGHT","POPWEIGHT","TOTWGT","DEMOCRATIC","REPUBLICAN"
"19","Ipsos","10/31/22",2022-11-01,1004,"a",37,36,NA,7,62.9876951198498,2.639375,2,1.72793682506292,1,217.677515846849,36.34015625,36.65984375
"20","YouGov","10/29/22",2022-11-01,1101,"lv",49,49,NA,7,62.9876951198498,3.91115384615385,2,1.75099353418067,2,441.164187551201,48.0222115384615,49.9777884615385
"21","YouGov","10/29/22",2022-11-01,1330,"rv",48,48,NA,7,62.9876951198498,3.91115384615385,2,1.79823355530395,1.67,378.310400365468,47.0222115384615,48.9777884615385
"22","Data for Progress","10/28/22",2022-10-31,1276,"lv",47,51,NA,8,58.9627814016914,5.645,2,1.78787136597618,2,421.671474105588,45.58875,52.41125
"23","YouGov","10/27/22",2022-10-31,1172,"rv",46,44,NA,8,58.9627814016914,3.91115384615385,2,1.76661674253424,1.67,347.909886947452,45.0222115384615,44.9777884615385
"24","NewsNation","10/28/22",2022-10-31,1017,"rv",43.44,44.67,NA,8,58.9627814016914,0,1,1.73115309901214,1.67,170.462914922355,43.44,44.67
"25","Morning Consult","10/28/22",2022-10-31,2005,"rv",47,42,NA,8,58.9627814016914,1.90875,2,1.90084983493517,1.67,374.345173604376,46.5228125,42.4771875
"26","SSRS","10/26/22",2022-10-31,992,"lv",51,47,NA,8,58.9627814016914,6.54,2,1.72493077682122,2,406.826865307037,49.365,48.635
"27","SSRS","10/26/22",2022-10-31,1290,"rv",46,47,NA,8,58.9627814016914,6.54,2,1.79059937433893,1.67,352.632923087087,44.365,48.635
"28","Benenson Strategy Group","10/27/22",2022-10-30,1000,"v",42,44,NA,9,55.1950596701233,0,1,1.72693881974553,1.33,126.773593299334,42,44
"29","Quinnipiac University","10/26/22",2022-10-30,2010,"rv",44,48,NA,9,55.1950596701233,5.5,2,1.90147250026328,1.67,350.539306297855,42.625,49.375
"30","Quinnipiac University","10/26/22",2022-10-30,2203,"a",44,46,NA,9,55.1950596701233,5.5,2,1.92439383670059,1,212.434065291013,42.625,47.375
"31","Morning Consult","10/28/22",2022-10-30,6974,"lv",46,46,NA,9,55.1950596701233,1.90875,2,2.2124860568089,2,488.473199699532,45.5228125,46.4771875
"32","ALG Research","10/21/22",2022-10-28,800,"lv",38,40,NA,11,48.3665040638772,0.93,1,1.67115293191698,2,161.655650145846,37.7675,40.2325
"33","YouGov","10/26/22",2022-10-28,1899,"lv",45,47,NA,11,48.3665040638772,3.91115384615385,2,1.88727067770307,2,365.122739611048,44.0222115384615,47.9777884615385
"34","Marist College","10/24/22",2022-10-27,1469,"rv",46,46,NA,12,45.2758844541955,-0.2575,2,1.82308429404347,1.67,275.689457850218,46.064375,45.935625
"35","Morning Consult","10/25/22",2022-10-27,7947,"lv",47,46,NA,12,45.2758844541955,1.90875,2,2.24513744448504,2,406.60233408117,46.5228125,46.4771875
"36","Data for Progress","10/26/22",2022-10-27,1217,"lv",45,49,NA,12,45.2758844541955,5.645,2,1.77603602324688,2,321.646407100058,43.58875,50.41125
"37","Tufts University","10/25/22",2022-10-27,642,"lv",48,47,NA,12,45.2758844541955,2.55,1,1.61614707592249,2,146.344976540905,47.3625,47.6375
"38","Trafalgar Group","10/25/22",2022-10-27,1089,"lv",42,48,NA,12,45.2758844541955,-2.20909966960854,1,1.74825378073324,2,158.307472346177,42.5522749174021,47.4477250825979
"39","Rasmussen Reports/Pulse Opinion Research","10/23/22",2022-10-27,2500,"lv",42,49,NA,12,45.2758844541955,-4.13,2,1.95601150271407,2,354.240603151838,43.0325,47.9675
"40","Fabrizio Lee & Associates/Impact Research","10/22/22",2022-10-26,1500,"rv",44,46,NA,13,42.3827554375724,0,1,1.82830509677258,1.67,129.405974995571,44,46
"41","Echelon Insights","10/24/22",2022-10-26,1014,"rv",48,45,NA,13,42.3827554375724,1.49,2,1.73041454603778,1.67,244.954719944526,47.6275,45.3725
"42","Echelon Insights","10/24/22",2022-10-26,1014,"lv",48,46,NA,13,42.3827554375724,1.49,2,1.73041454603778,2,293.358946041349,47.6275,46.3725
"43","Big Village/Opinion Research Corporation","10/24/22",2022-10-26,713,"lv",50,46,NA,13,42.3827554375724,0,1,1.64237035510357,2,139.216362196547,50,46
"44","Big Village/Opinion Research Corporation","10/24/22",2022-10-26,1006,"a",42,38,NA,13,42.3827554375724,0,1,1.72843433766492,1,73.2558098231547,42,38
"45","Insider Advantage","10/25/22",2022-10-25,750,"lv",44,48,NA,14,39.6744973651115,0,1,1.65501830163259,2,131.324038494667,44,48
"46","Ipsos","10/24/22",2022-10-25,1005,"a",34,32,NA,14,39.6744973651115,2.639375,2,1.72818570512329,1,137.129798408675,33.34015625,32.65984375
"47","YouGov","10/22/22",2022-10-25,1114,"lv",49,45,NA,14,39.6744973651115,3.91115384615385,2,1.75392810512181,2,278.344863941001,48.0222115384615,45.9777884615385
"48","YouGov","10/22/22",2022-10-25,1335,"rv",46,42,NA,14,39.6744973651115,3.91115384615385,2,1.79917164270859,1.67,238.413310197404,45.0222115384615,42.9777884615385
"49","Morning Consult","10/22/22",2022-10-24,7947,"lv",48,46,NA,15,37.1392969834809,1.90875,2,2.24513744448504,2,333.531305277854,47.5228125,46.4771875
"50","Global Strategy Group/GBAO (Navigator Research)","10/20/22",2022-10-24,1000,"rv",48,45,NA,15,37.1392969834809,5.24,2,1.72693881974553,1.67,214.218560954097,46.69,46.31
"51","Suffolk University","10/19/22",2022-10-24,1000,"lv",45,49,NA,15,37.1392969834809,4.0675,2,1.72693881974553,2,256.549174795325,43.983125,50.016875
"52","Ipsos","10/13/22",2022-10-23,937,"lv",49,48,NA,16,34.7660959062364,2.639375,2,1.71067082055961,2,237.893383246302,48.34015625,48.65984375
"53","Ipsos","10/13/22",2022-10-23,1540,"a",32,30,NA,16,34.7660959062364,2.639375,2,1.83488442385192,1,127.58353571299,31.34015625,30.65984375
"54","Morning Consult","10/21/22",2022-10-23,2005,"rv",47,42,NA,16,34.7660959062364,1.90875,2,1.90084983493517,1.67,220.724326400131,46.5228125,42.4771875
"55","Morning Consult","10/21/22",2022-10-23,7800,"lv",48,45,NA,16,34.7660959062364,1.90875,2,2.24046975316942,2,311.56954525484,47.5228125,45.4771875
"56","GQR Research (GQRR)","10/19/22",2022-10-23,1000,"rv",49,49,NA,16,34.7660959062364,4.095,2,1.72693881974553,1.67,200.52999490913,47.97625,50.02375
"57","Cygnal","10/19/22",2022-10-21,5502,"lv",48.6,46.9,NA,18,30.4649461198847,3.7073417949916,1,2.15321673537113,2,131.195263655031,47.6731645512521,47.8268354487479
"58","Morning Consult","10/18/22",2022-10-20,7947,"lv",47,45,NA,19,28.5182360628241,1.90875,2,2.24513744448504,2,256.109438541241,46.5228125,45.4771875
"59","Rasmussen Reports/Pulse Opinion Research","10/16/22",2022-10-20,2500,"lv",43,47,NA,19,28.5182360628241,-4.13,2,1.95601150271407,2,223.127991103997,44.0325,45.9675
"60","The Winston Group","10/17/22",2022-10-19,1300,"rv",46,44,NA,20,26.6959207784096,0.74,2,1.79252988586241,1.67,159.829807658554,45.815,44.185
"61","Emerson College","10/18/22",2022-10-19,1000,"rv",41,46,NA,20,26.6959207784096,-0.25,1,1.72693881974553,1.67,76.9907106082153,41.0625,45.9375
"62","YouGov","10/17/22",2022-10-19,1000,"a",43,40,NA,20,26.6959207784096,3.91115384615385,2,1.72693881974553,1,92.2044438421741,42.0222115384615,40.9777884615385
"63","Hart Research Associates/Public Opinion Strategies","10/14/22",2022-10-18,797,"lv",47,48,NA,21,24.9900514406693,0,1,1.67021366969755,2,83.4774510453017,47,48
"64","Hart Research Associates/Public Opinion Strategies","10/14/22",2022-10-18,1000,"rv",47,46,NA,21,24.9900514406693,0,1,1.72693881974553,1.67,72.0710042003504,47,46
"65","Data for Progress","10/6/22",2022-10-18,4576,"lv",45,48,NA,21,24.9900514406693,5.645,2,2.10714513326491,2,210.630661092984,43.58875,49.41125
"66","SurveyMonkey","9/15/22",2022-10-18,108206,"lv",49,51,NA,21,24.9900514406693,2.45538461538462,2,2.89794802418053,2,289.679480786629,48.3861538461538,51.6138461538462
"67","Ipsos","10/17/22",2022-10-18,1002,"a",36,35,NA,21,24.9900514406693,2.639375,2,1.7274383204112,1,86.3375449753185,35.34015625,35.65984375
"68","YouGov","10/16/22",2022-10-18,1110,"lv",46,47,NA,21,24.9900514406693,3.91115384615385,2,1.7530288235766,2,175.23312191262,45.0222115384615,47.9777884615385
"69","YouGov","10/16/22",2022-10-18,1345,"rv",45,44,NA,21,24.9900514406693,3.91115384615385,2,1.80103732300898,1.67,150.32677126419,44.0222115384615,44.9777884615385
"70","Morning Consult","10/15/22",2022-10-17,7947,"lv",47,45,NA,22,23.3931871536105,1.90875,2,2.24513744448504,2,210.08368169767,46.5228125,45.4771875
"71","McLaughlin & Associates","10/12/22",2022-10-17,1000,"lv",43,49,NA,22,23.3931871536105,-7.86,1,1.72693881974553,2,80.797206026285,44.965,47.035
"72","Monmouth University","10/13/22",2022-10-17,756,"rv",44,50,NA,22,23.3931871536105,3.9,1,1.65701034404488,1.67,64.7337976664965,43.025,50.975
"73","Monmouth University","10/13/22",2022-10-17,808,"a",45,49,NA,22,23.3931871536105,3.9,1,1.67364051463027,1,39.151785786611,44.025,49.975
"74","YouGov","10/13/22",2022-10-17,1209,"rv",46,44,NA,22,23.3931871536105,3.91115384615385,2,1.7743872126537,1.67,138.638630976261,45.0222115384615,44.9777884615385
"75","YouGov","10/13/22",2022-10-17,1629,"a",38,34,NA,22,23.3931871536105,3.91115384615385,2,1.84893040215051,1,86.5047498630145,37.0222115384615,34.9777884615385
"76","Hart Research Associates/Public Opinion Strategies","10/13/22",2022-10-16,800,"rv",46,48,NA,23,21.8983624944948,0,1,1.67115293191698,1.67,61.1145061870493,46,48
"77","Pew Research Center","10/10/22",2022-10-16,3993,"rv",41,40,NA,23,21.8983624944948,4.4,1,2.07307452676581,1.67,75.8128855669188,39.9,41.1
"78","Morning Consult","10/14/22",2022-10-16,2005,"rv",45,44,NA,23,21.8983624944948,1.90875,2,1.90084983493517,1.67,139.029165768256,44.5228125,44.4771875
"79","Morning Consult","10/12/22",2022-10-14,7947,"lv",48,45,NA,25,19.1891673804195,1.90875,2,2.24513744448504,2,172.329272857083,47.5228125,45.4771875
"80","YouGov","10/12/22",2022-10-14,1753,"lv",45,47,NA,25,19.1891673804195,3.91115384615385,2,1.86727097123031,2,143.325500846148,44.0222115384615,47.9777884615385
"81","Harris Insights & Analytics","10/12/22",2022-10-13,NA,"",47,53,NA,26,17.9629795848107,-0.633333333333333,2,0,0,0,47.1583333333333,52.8416666666667
"82","Harris Insights & Analytics","10/12/22",2022-10-13,2010,"rv",50,50,NA,26,17.9629795848107,-0.633333333333333,2,1.90147250026328,1.67,114.08141308905,50.1583333333333,49.8416666666667
"83","Rasmussen Reports/Pulse Opinion Research","10/9/22",2022-10-13,2500,"lv",41,48,NA,26,17.9629795848107,-4.13,2,1.95601150271407,2,140.543178763631,42.0325,46.9675
"84","Siena College/The New York Times Upshot","10/9/22",2022-10-12,792,"rv",46,46,NA,27,16.8151451893413,4.55,1,1.66864034795361,1.67,46.8575776317869,44.8625,47.1375
"85","Siena College/The New York Times Upshot","10/9/22",2022-10-12,792,"lv",45,49,NA,27,16.8151451893413,4.55,1,1.66864034795361,2,56.1168594392658,43.8625,50.1375
"86","Fox News/Beacon Research/Shaw & Co. Research","10/9/22",2022-10-12,1206,"rv",44,41,NA,27,16.8151451893413,1.055,2,1.77376609432178,1.67,99.6192889225584,43.73625,41.26375
"87","Trafalgar Group","10/10/22",2022-10-12,1079,"lv",43,48,NA,27,16.8151451893413,-2.20909966960854,1,1.74594749131453,2,58.7167211188402,43.5522749174021,47.4477250825979
"88","Morning Consult","10/9/22",2022-10-11,7947,"lv",48,45,NA,28,15.7406574117424,1.90875,2,2.24513744448504,2,141.359757423656,47.5228125,45.4771875
"89","Public Opinion Strategies","10/7/22",2022-10-11,2000,"lv",45,43,NA,28,15.7406574117424,6.27333333333333,1,1.90022561488552,2,59.821600817861,43.4316666666667,44.5683333333333
"90","Susquehanna Polling & Research Inc.","10/4/22",2022-10-11,800,"lv",48,48,NA,28,15.7406574117424,0.327587076335325,1,1.67115293191698,2,52.6100915678681,47.9181032309162,48.0818967690838
"91","Ipsos","10/10/22",2022-10-11,1004,"a",36,32,NA,28,15.7406574117424,2.639375,2,1.72793682506292,1,54.3977231848985,35.34015625,32.65984375
"92","YouGov","10/8/22",2022-10-11,1030,"lv",48,46,NA,28,15.7406574117424,3.91115384615385,2,1.73432852030592,2,109.197884310198,47.0222115384615,46.9777884615385
"93","YouGov","10/8/22",2022-10-11,1330,"rv",46,44,NA,28,15.7406574117424,3.91115384615385,2,1.79823355530395,1.67,94.5399636567322,45.0222115384615,44.9777884615385
"94","Pioneer Polling/Tarrance Group","10/8/22",2022-10-10,1208,"lv",46,47,NA,29,14.734829403132,0,1,1.77418034462369,2,52.2844894168402,46,47
"95","Global Strategy Group/GBAO (Navigator Research)","10/6/22",2022-10-10,1000,"rv",49,44,NA,29,14.734829403132,5.24,2,1.72693881974553,1.67,84.9901373213128,47.69,45.31
"96","AP-NORC","10/6/22",2022-10-10,1121,"a",41,34,NA,29,14.734829403132,0,1,1.75549410576804,1,25.8669061666959,41,34
"97","Morning Consult","10/7/22",2022-10-09,2006,"rv",46,42,NA,30,13.7932738042719,1.90875,2,1.90097449213047,1.67,87.5770099607404,45.5228125,42.4771875
"98","Morning Consult","10/6/22",2022-10-08,7947,"lv",47,45,NA,31,12.9118836081789,1.90875,2,2.24513744448504,2,115.955813470221,46.5228125,45.4771875
"99","IBD/TIPP","10/5/22",2022-10-07,1158,"rv",43,42,NA,32,12.0868142456163,-0.256666666666667,2,1.76361241453324,1.67,71.1969618901251,43.0641666666667,41.9358333333333
"100","Big Village/Opinion Research Corporation","10/5/22",2022-10-07,708,"lv",51,45,NA,32,12.0868142456163,0,1,1.64061102342343,2,39.6595213788589,51,45
"101","Big Village/Opinion Research Corporation","10/5/22",2022-10-07,1005,"a",43,38,NA,32,12.0868142456163,0,1,1.72818570512329,1,20.8882595997547,43,38
"102","Rasmussen Reports/Pulse Opinion Research","10/2/22",2022-10-06,2500,"lv",43,47,NA,33,11.3144668153214,-4.13,2,1.95601150271407,2,88.5249089513815,44.0325,45.9675
"103","SSRS","9/3/22",2022-10-05,1198,"lv",50,47,NA,34,10.5914723858224,6.54,2,1.77210219466885,2,75.0766858387614,48.365,48.635
"104","SSRS","9/3/22",2022-10-05,1577,"rv",46,43,NA,34,10.5914723858224,6.54,2,1.84081989674076,1.67,65.1199569660312,44.365,44.635
"105","Morning Consult","10/3/22",2022-10-05,7947,"lv",48,45,NA,34,10.5914723858224,1.90875,2,2.24513744448504,2,95.1172449825568,47.5228125,45.4771875
"106","John Zogby Strategies/EMI Research Solutions","10/5/22",2022-10-05,1006,"lv",45,43,NA,34,10.5914723858224,0.34,2,1.72843433766492,2,73.2266582323409,44.915,43.085
"107","Ipsos","10/3/22",2022-10-04,1003,"a",33,32,NA,35,9.91467730036834,2.639375,2,1.72768769699048,1,34.2589319829544,32.34015625,32.65984375
"108","YouGov","10/1/22",2022-10-04,1042,"lv",47,46,NA,35,9.91467730036834,3.91115384615385,2,1.73722430557833,2,68.8960735526624,46.0222115384615,46.9777884615385
"109","YouGov","10/1/22",2022-10-04,1305,"rv",45,44,NA,35,9.91467730036834,3.91115384615385,2,1.7934895799392,1.67,59.3914472250788,44.0222115384615,44.9777884615385
"110","Data for Progress","9/16/22",2022-10-03,7380,"lv",45,47,NA,36,9.2811294208748,5.645,2,2.22663222939863,2,82.6626475749587,43.58875,48.41125
"111","Insider Advantage","10/3/22",2022-10-03,750,"lv",44,47,NA,36,9.2811294208748,0,1,1.65501830163259,2,30.7208781027369,44,47
"112","Morning Consult","9/30/22",2022-10-02,2005,"rv",46,43,NA,37,8.6880652508809,1.90875,2,1.90084983493517,1.67,55.1591227094634,45.5228125,43.4771875
"113","Morning Consult","9/30/22",2022-10-02,7923,"lv",49,44,NA,37,8.6880652508809,1.90875,2,2.24438130024131,2,77.9973247374137,48.5228125,44.4771875
"114","Marist College","9/27/22",2022-09-29,1562,"rv",46,44,NA,40,7.12672186207124,-0.2575,2,1.83843058259991,1.67,43.7606246392165,46.064375,43.935625
"115","Morning Consult","9/27/22",2022-09-29,7947,"lv",49,44,NA,40,7.12672186207124,1.90875,2,2.24513744448504,2,64.0018804358653,48.5228125,44.4771875
"116","NewsNation","9/26/22",2022-09-29,1017,"rv",45,44,NA,40,7.12672186207124,0,1,1.73115309901214,1.67,20.6035358843281,45,44
"117","Rasmussen Reports/Pulse Opinion Research","9/25/22",2022-09-29,2500,"lv",44,45,NA,40,7.12672186207124,-4.13,2,1.95601150271407,2,55.7597997554208,45.0325,43.9675
"118","Morning Consult","9/27/22",2022-09-28,2005,"rv",45,42,NA,41,6.67132433508489,1.90875,2,1.90084983493517,1.67,42.3551604422245,44.5228125,42.4771875
"119","Susquehanna Polling & Research Inc.","9/21/22",2022-09-27,881,"lv",43,44,NA,42,6.24502671007296,0.327587076335325,1,1.69526440648404,2,21.1739429982577,42.9181032309162,44.0818967690838
"120","YouGov","9/23/22",2022-09-27,1138,"rv",45,41,NA,42,6.24502671007296,3.91115384615385,2,1.75925690367157,1.67,36.6952652200527,44.0222115384615,41.9777884615385
"121","YouGov","9/23/22",2022-09-27,1566,"a",38,33,NA,42,6.24502671007296,3.91115384615385,2,1.83906996913769,1,22.9700821579158,37.0222115384615,33.9777884615385
"122","Ipsos","9/26/22",2022-09-27,1004,"a",37,32,NA,42,6.24502671007296,2.639375,2,1.72793682506292,1,21.5820232516732,36.34015625,32.65984375
"123","Trafalgar Group","9/25/22",2022-09-27,1084,"lv",46,51,NA,42,6.24502671007296,-2.20909966960854,1,1.7471032954999,2,21.8214134913067,46.5522749174021,50.4477250825979
"124","YouGov","9/24/22",2022-09-27,1055,"lv",46,47,NA,42,6.24502671007296,3.91115384615385,2,1.74032401147754,2,43.4734797434343,45.0222115384615,47.9777884615385
"125","YouGov","9/24/22",2022-09-27,1341,"rv",44,44,NA,42,6.24502671007296,3.91115384615385,2,1.80029272082042,1.67,37.5512062657613,43.0222115384615,44.9777884615385
"126","Kaiser Family Foundation","9/15/22",2022-09-26,1291,"rv",47,43,NA,43,5.8459695032993,0,1,1.79079309771166,1.67,17.4830994660219,47,43
"127","Global Strategy Group/GBAO (Navigator Research)","9/22/22",2022-09-26,997,"rv",49,43,NA,43,5.8459695032993,5.24,2,1.72618769249046,1.67,33.7047436282812,47.69,44.31
"128","Morning Consult","9/24/22",2022-09-26,7947,"lv",48,44,NA,43,5.8459695032993,1.90875,2,2.24513744448504,2,52.5000201246996,47.5228125,44.4771875
"129","Morning Consult","9/24/22",2022-09-25,2005,"rv",46,41,NA,44,5.47241205203847,1.90875,2,1.90084983493517,1.67,34.7434600430206,45.5228125,41.4771875
"130","Monmouth University","9/21/22",2022-09-25,750,"rv",45,47,NA,44,5.47241205203847,3.9,1,1.65501830163259,1.67,15.1250933073314,44.025,47.975
"131","Monmouth University","9/21/22",2022-09-25,806,"a",44,47,NA,44,5.47241205203847,3.9,1,1.67302093562666,1,9.155459931436,43.025,47.975
"132","Morning Consult","9/23/22",2022-09-25,2005,"rv",45,43,NA,44,5.47241205203847,1.90875,2,1.90084983493517,1.67,34.7434600430206,44.5228125,43.4771875
"133","Selzer & Co.","9/20/22",2022-09-25,563,"lv",46,42,NA,44,5.47241205203847,-1.405,2,1.58331990703492,2,34.6583157659614,46.35125,41.64875
"134","Morning Consult","9/23/22",2022-09-24,2005,"rv",47,41,NA,45,5.12272492191322,1.90875,2,1.90084983493517,1.67,32.5233529462716,46.5228125,41.4771875
"135","Morning Consult","9/21/22",2022-09-23,7947,"lv",48,44,NA,46,4.79538279940296,1.90875,2,2.24513744448504,2,43.0651739343164,47.5228125,44.4771875
"136","YouGov","9/21/22",2022-09-23,1954,"lv",45,46,NA,46,4.79538279940296,3.91115384615385,2,1.89440845815068,2,36.3376549410371,44.0222115384615,46.9777884615385
"137","Big Village/Opinion Research Corporation","9/21/22",2022-09-23,821,"rv",46,41,NA,46,4.79538279940296,0,1,1.67763077736311,1.67,13.4349525617718,46,41
"138","Big Village/Opinion Research Corporation","9/21/22",2022-09-23,1007,"a",39,38,NA,46,4.79538279940296,0,1,1.72868272317964,1,8.28969539636072,39,38
"139","Rasmussen Reports/Pulse Opinion Research","9/18/22",2022-09-22,2500,"lv",42,44,NA,47,4.48895783852111,-4.13,2,1.95601150271407,2,35.1218126693832,43.0325,42.9675
"140","McLaughlin & Associates","9/17/22",2022-09-22,1000,"lv",44,48,NA,47,4.48895783852111,-7.86,1,1.72693881974553,2,15.5043111030862,45.965,46.035
"141","ABC News/The Washington Post","9/18/22",2022-09-22,NA,"",46,51,NA,47,4.48895783852111,0.671666666666667,2,0,0,0,45.8320833333333,51.1679166666667
"142","ABC News/The Washington Post","9/18/22",2022-09-21,908,"rv",46,47,NA,48,4.20211343263961,0.671666666666667,2,1.70281109465032,1.67,23.8990539494201,45.8320833333333,47.1679166666667
"143","Emerson College","9/20/22",2022-09-21,1368,"lv",45,45,NA,48,4.20211343263961,-0.25,1,1.80527627454562,2,15.1719513657875,45.0625,44.9375
"144","Morning Consult","9/18/22",2022-09-20,7947,"lv",48,45,NA,49,3.93359838429394,1.90875,2,2.24513744448504,2,35.3258760965768,47.5228125,45.4771875
"145","Ipsos","9/19/22",2022-09-20,1004,"a",34,33,NA,49,3.93359838429394,2.639375,2,1.72793682506292,1,13.594019006459,33.34015625,33.65984375
"146","YouGov","9/17/22",2022-09-20,1318,"rv",46,41,NA,49,3.93359838429394,3.91115384615385,2,1.79596767876561,1.67,23.5958159685181,45.0222115384615,41.9777884615385
"147","Ipsos","9/6/22",2022-09-19,930,"lv",41,41,NA,50,3.68224144753756,2.639375,2,1.70879614653683,2,25.1687999846815,40.34015625,41.65984375
"148","Ipsos","9/6/22",2022-09-19,1564,"a",32,29,NA,50,3.68224144753756,2.639375,2,1.83875048027631,1,13.5414464603061,31.34015625,29.65984375
"149","Premise","9/16/22",2022-09-19,1703,"a",46,34,NA,50,3.68224144753756,0,1,1.86003667016567,1,6.84910412082379,46,34
"150","Echelon Insights","9/16/22",2022-09-19,1056,"rv",49,42,NA,50,3.68224144753756,1.49,2,1.74056086606655,1.67,21.4066123123937,48.6275,42.3725
"151","Echelon Insights","9/16/22",2022-09-19,1056,"lv",49,44,NA,50,3.68224144753756,1.49,2,1.74056086606655,2,25.6366614519685,48.6275,44.3725
"152","Morning Consult","9/16/22",2022-09-18,2005,"rv",46,41,NA,51,3.44694621903991,1.90875,2,1.90084983493517,1.67,21.8841046859847,45.5228125,41.4771875
"153","Morning Consult","9/15/22",2022-09-17,7947,"lv",48,45,NA,52,3.22668635564326,1.90875,2,2.24513744448504,2,28.9774174346547,47.5228125,45.4771875
"154","Cygnal","9/14/22",2022-09-16,5196,"lv",47,47,NA,53,3.02050109751766,3.7073417949916,1,2.13891109444762,2,12.9211666165435,46.0731645512521,47.9268354487479
"155","GQR Research (GQRR)","9/9/22",2022-09-15,1000,"rv",50,47,NA,54,2.82749107738628,4.095,2,1.72693881974553,1.67,16.3088997074351,48.97625,48.02375
"156","OnMessage Inc.","9/12/22",2022-09-15,1600,"lv",43,46,NA,54,2.82749107738628,-2.43837072137484,1,1.84443972705697,2,10.4302737420607,43.6095926803437,45.3904073196563
"157","Rasmussen Reports/Pulse Opinion Research","9/11/22",2022-09-15,2500,"lv",42,43,NA,54,2.82749107738628,-4.13,2,1.95601150271407,2,22.1224202847559,43.0325,41.9675
"158","Data for Progress","8/29/22",2022-09-15,4258,"lv",45,47,NA,54,2.82749107738628,5.645,2,2.08913871136336,2,23.6280842632086,43.58875,48.41125
"159","Siena College/The New York Times Upshot","9/6/22",2022-09-14,1399,"lv",47,46,NA,55,2.64681439754129,4.55,1,1.81087824366637,2,9.58611721506088,45.8625,47.1375
"160","Marquette University Law School","9/7/22",2022-09-14,1282,"rv",47,41,NA,55,2.64681439754129,2.914,1,1.78904415937015,1.67,7.907897290893,46.2715,41.7285
