POLLSTER,STATE,START,END,SAMPLE,POPULATION,DEM1,DEM1PCT,REP1,REP1PCT,OTHER1,OTHER1PCT,DEM2,DEM2PCT,DEM3,DEM3PCT,REP2,REP2PCT,REP3,REP3PCT
Data for Progress,WI,11/2/22,11/5/22,1504,lv,Mandela Barnes,47,Ron Johnson,53,,,,,,,,,,
Data for Progress,NH,11/2/22,11/5/22,1995,lv,Maggie Hassan,50,Donald C. Bolduc,47,,,,,,,,,,
Data for Progress,OR,11/1/22,11/6/22,1393,lv,Ron Wyden,56,Jo Rae Perkins,42,,,,,,,,,,
Civiqs,WI,11/4/22,11/7/22,739,lv,Mandela Barnes,49,Ron Johnson,50,,,,,,,,,,
Civiqs,OH,11/4/22,11/7/22,716,lv,Tim Ryan,46,J.D. Vance,51,,,,,,,,,,
Civiqs,IN,11/4/22,11/7/22,707,lv,Thomas McDermott,38,Todd Young,49,,,,,,,,,,
Civiqs,MO,11/4/22,11/7/22,746,lv,Trudy Busch Valentine,40,Eric Schmitt,55,,,,,,,,,,
Data for Progress,NC,11/2/22,11/6/22,1322,lv,Cheri Beasley,45,Ted Budd,51,,,,,,,,,,
Ascend Action,OK,11/5/22,11/6/22,682,lv,Madison Horn,36,James Lankford,56,,,,,,,,,,
Ascend Action,OKS,11/5/22,11/6/22,682,lv,Kendra Horn,41,Markwayne Mullin,53,,,,,,,,,,
Moore Information,WA,11/3/22,11/5/22,500,lv,Patty Murray,47,Tiffany Smiley,47.4,,,,,,,,,,
Landmark Communications,GA,11/4/22,11/7/22,1214,lv,Raphael Warnock,46.4,Herschel Junior Walker,46.8,,,,,,,,,,
Data Orbital,AZ,11/4/22,11/6/22,550,lv,Mark Kelly,48.2,Blake Masters,46.5,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,GA,11/6/22,11/6/22,550,lv,Raphael Warnock,47,Herschel Junior Walker,49,,,,,,,,,,
Trafalgar Group,GA,11/4/22,11/6/22,1103,lv,Raphael Warnock,46.5,Herschel Junior Walker,49.7,,,,,,,,,,
Research Co.,WI,11/4/22,11/6/22,450,lv,Mandela Barnes,47,Ron Johnson,53,,,,,,,,,,
Research Co.,AZ,11/4/22,11/6/22,450,lv,Mark Kelly,51,Blake Masters,47,,,,,,,,,,
Research Co.,CA,11/4/22,11/6/22,450,lv,Alex Padilla,53,Mark P. Meuser,37,,,,,,,,,,
Research Co.,CA,11/4/22,11/6/22,450,lv,Alex Padilla,53,Mark P. Meuser,37,,,,,,,,,,
Research Co.,FL,11/4/22,11/6/22,450,lv,Val Demings,44,Marco Rubio,54,,,,,,,,,,
Research Co.,GA,11/4/22,11/6/22,450,lv,Raphael Warnock,49,Herschel Junior Walker,49,,,,,,,,,,
Research Co.,IL,11/4/22,11/6/22,450,lv,Tammy Duckworth,58,Kathy Salvi,40,,,,,,,,,,
Research Co.,NV,11/4/22,11/6/22,450,lv,Catherine Cortez Masto,48,Adam Paul Laxalt,49,,,,,,,,,,
Research Co.,NY,11/4/22,11/6/22,450,lv,Charles E. Schumer,59,Joe Pinion,39,,,,,,,,,,
Research Co.,OH,11/4/22,11/6/22,450,lv,Tim Ryan,46,J.D. Vance,54,,,,,,,,,,
Research Co.,PA,11/4/22,11/6/22,450,lv,John Fetterman,49,Mehmet Oz,48,,,,,,,,,,
Phillips Academy,NH,11/5/22,11/6/22,1056,lv,Maggie Hassan,48.3,Donald C. Bolduc,44.7,,,,,,,,,,
ActiVote,NY,8/8/22,11/6/22,279,lv,Charles E. Schumer,60,Joe Pinion,40,,,,,,,,,,
Trafalgar Group,NC,11/4/22,11/6/22,1098,lv,Cheri Beasley,44.8,Ted Budd,51.2,,,,,,,,,,
University of New Hampshire,NH,11/2/22,11/6/22,2077,lv,Maggie Hassan,50,Donald C. Bolduc,48,,,,,,,,,,
East Carolina University,GA,11/2/22,11/5/22,1077,lv,Raphael Warnock,48.9,Herschel Junior Walker,48.9,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,NH,11/5/22,11/5/22,700,lv,Maggie Hassan,49.4,Donald C. Bolduc,47.6,,,,,,,,,,
Trafalgar Group,OH,11/3/22,11/5/22,1123,lv,Tim Ryan,43.5,J.D. Vance,53.9,,,,,,,,,,
Wick,NH,11/2/22,11/5/22,725,lv,Maggie Hassan,48.3,Donald C. Bolduc,48.4,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,NV,11/4/22,11/4/22,550,lv,Catherine Cortez Masto,43.8,Adam Paul Laxalt,49.8,,,,,,,,,,
Trafalgar Group,WI,11/2/22,11/4/22,1095,lv,Mandela Barnes,47.4,Ron Johnson,50.1,,,,,,,,,,
Selzer & Co. ,IA,10/31/22,11/3/22,801,lv,Michael Franken,41,Chuck Grassley,53,,,,,,,,,,
East Carolina University,NC,11/1/22,11/3/22,1183,lv,Cheri Beasley,47,Ted Budd,51.9,,,,,,,,,,
The Polling Company Inc.,AZ,11/2/22,11/3/22,501,lv,Mark Kelly,47,Blake Masters,46,,,,,,,,,,
The Polling Company Inc.,NV,11/2/22,11/3/22,501,lv,Catherine Cortez Masto,45,Adam Paul Laxalt,44,,,,,,,,,,
Cygnal,OH,11/1/22,11/3/22,1498,lv,Tim Ryan,43.1,J.D. Vance,49.3,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,PA,11/3/22,11/3/22,750,lv,John Fetterman,46,Mehmet Oz,48.3,,,,,,,,,,
Trafalgar Group,PA,11/1/22,11/3/22,1097,lv,John Fetterman,45.5,Mehmet Oz,47.7,,,,,,,,,,
ActiVote,NC,8/5/22,11/3/22,250,lv,Cheri Beasley,47,Ted Budd,48,,,,,,,,,,
Patriot Polling,AZ,10/30/22,11/2/22,814,rv,Mark Kelly,48.6,Blake Masters,47.9,,,,,,,,,,
Marist College,AZ,10/31/22,11/2/22,1157,rv,Mark Kelly,49,Blake Masters,45,,,,,,,,,,
USC Schwarzenegger Institute,CA,10/30/22,11/2/22,802,rv,Alex Padilla,63,Mark P. Meuser,37,,,,,,,,,,
Amber Integrated,FL,11/1/22,11/2/22,600,lv,Val Demings,40,Marco Rubio,49,,,,,,,,,,
Amber Integrated,GA,11/1/22,11/2/22,600,lv,Raphael Warnock,45,Herschel Junior Walker,48,,,,,,,,,,
Marist College,GA,10/31/22,11/2/22,1168,rv,Raphael Warnock,49,Herschel Junior Walker,45,,,,,,,,,,
Moore Information,GA,10/29/22,11/2/22,800,lv,Raphael Warnock,44,Herschel Junior Walker,49,,,,,,,,,,
Cygnal,NV,11/1/22,11/2/22,600,lv,Catherine Cortez Masto,43.3,Adam Paul Laxalt,45.8,,,,,,,,,,
Marist College,PA,10/31/22,11/2/22,1152,rv,John Fetterman,50,Mehmet Oz,44,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,AZ,11/2/22,11/2/22,550,lv,Mark Kelly,48,Blake Masters,48,,,,,,,,,,
HighGround Inc.,AZ,11/1/22,11/2/22,500,lv,Mark Kelly,46.4,Blake Masters,45,,,,,,,,,,
SurveyUSA,GA,10/29/22,11/2/22,1171,lv,Raphael Warnock,49,Herschel Junior Walker,43,,,,,,,,,,
Remington Research Group,GA,11/1/22,11/2/22,1150,lv,Raphael Warnock,45,Herschel Junior Walker,49,,,,,,,,,,
Remington Research Group,PA,11/1/22,11/2/22,1180,lv,John Fetterman,44,Mehmet Oz,47,,,,,,,,,,
Remington Research Group,AZ,11/1/22,11/2/22,1075,lv,Mark Kelly,48,Blake Masters,47,,,,,,,,,,
Remington Research Group,NC,11/1/22,11/2/22,1140,lv,Cheri Beasley,43,Ted Budd,50,,,,,,,,,,
Remington Research Group,OH,11/1/22,11/2/22,1125,lv,Tim Ryan,43,J.D. Vance,48,,,,,,,,,,
Echelon Insights,GA,10/31/22,11/2/22,500,lv,Raphael Warnock,45,Herschel Junior Walker,49,,,,,,,,,,
Echelon Insights,GA,10/31/22,11/2/22,500,lv,Raphael Warnock,45,Herschel Junior Walker,52,,,,,,,,,,
Civiqs,AZ,10/29/22,11/2/22,852,lv,Mark Kelly,49,Blake Masters,49,,,,,,,,,,
Civiqs,FL,10/29/22,11/2/22,772,lv,Val Demings,45,Marco Rubio,52,,,,,,,,,,
Civiqs,NC,10/29/22,11/2/22,674,lv,Cheri Beasley,49,Ted Budd,49,,,,,,,,,,
Emerson College,AZ,10/30/22,11/1/22,1000,lv,Mark Kelly,47.7,Blake Masters,48.1,,,,,,,,,,
Siena College,FL,10/30/22,11/1/22,659,lv,Val Demings,43,Marco Rubio,51,,,,,,,,,,
Patinkin Research Strategies,GA,10/30/22,11/1/22,700,rv,Raphael Warnock,49,Herschel Junior Walker,45,,,,,,,,,,
Trafalgar Group,MO,10/30/22,11/1/22,1079,lv,Trudy Busch Valentine,42.3,Eric Schmitt,53.3,,,,,,,,,,
Emerson College,NH,10/30/22,11/1/22,850,lv,Maggie Hassan,50.2,Donald C. Bolduc,45.7,,,,,,,,,,
Emerson College,OH,10/30/22,11/1/22,1000,lv,Tim Ryan,43.8,J.D. Vance,52.7,,,,,,,,,,
Emerson College,OR,10/31/22,11/1/22,975,lv,Ron Wyden,50.6,Jo Rae Perkins,33.6,,,,,,,,,,
Trafalgar Group,NH,10/30/22,11/1/22,1241,lv,Maggie Hassan,45.7,Donald C. Bolduc,47,,,,,,,,,,
Trafalgar Group,CO,10/30/22,11/1/22,1084,lv,Michael Bennet,47.6,Joe O'Dea,46.1,,,,,,,,,,
Victory Insights,FL,10/30/22,11/1/22,500,lv,Val Demings,45.7,Marco Rubio,49.7,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,FL,11/1/22,11/1/22,550,lv,Val Demings,45,Marco Rubio,51,,,,,,,,,,
SurveyUSA,MO,10/27/22,11/1/22,791,lv,Trudy Busch Valentine,41,Eric Schmitt,50,,,,,,,,,,
Cygnal,OH,10/29/22,11/1/22,1520,lv,Tim Ryan,44.1,J.D. Vance,48.7,,,,,,,,,,
Susquehanna Polling & Research Inc.,PA,10/28/22,11/1/22,700,lv,John Fetterman,46.6,Mehmet Oz,47.6,,,,,,,,,,
Marquette University Law School,WI,10/24/22,11/1/22,802,rv,Mandela Barnes,45,Ron Johnson,48,,,,,,,,,,
Marquette University Law School,WI,10/24/22,11/1/22,679,lv,Mandela Barnes,48,Ron Johnson,50,,,,,,,,,,
YouGov,FL,10/20/22,10/31/22,1117,rv,Val Demings,44,Marco Rubio,51,,,,,,,,,,
University of Arkansas,AR,10/13/22,10/31/22,557,lv,Natalie James,25.8,John Boozman,54.6,,,,,,,,,,
Emerson College,GA,10/28/22,10/31/22,1000,lv,Raphael Warnock,49.5,Herschel Junior Walker,47.6,,,,,,,,,,
Emerson College,PA,10/28/22,10/31/22,1000,lv,John Fetterman,47.3,Mehmet Oz,48.4,,,,,,,,,,
Siena College,WI,10/27/22,10/31/22,655,lv,Mandela Barnes,45,Ron Johnson,47,,,,,,,,,,
Emerson College,NY,10/28/22,10/31/22,1000,lv,Charles E. Schumer,57,Joe Pinion,38.5,,,,,,,,,,
Trafalgar Group,NY,10/27/22,10/31/22,1198,lv,Charles E. Schumer,50.6,Joe Pinion,40,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,WA,10/31/22,10/31/22,550,lv,Patty Murray,48,Tiffany Smiley,46.4,,,,,,,,,,
Clarity Campaign Labs,WI,10/27/22,10/31/22,888,lv,Mandela Barnes,48,Ron Johnson,46,,,,,,,,,,
Fox News/Beacon Research/Shaw & Co. Research,AZ,10/26/22,10/30/22,1003,lv,Mark Kelly,47,Blake Masters,45,,,,,,,,,,
Phillips Academy,AZ,10/29/22,10/30/22,985,lv,Mark Kelly,47.2,Blake Masters,46.6,,,,,,,,,,
Center Street PAC,AZ,10/25/22,10/30/22,558,lv,Mark Kelly,55,Blake Masters,45,,,,,,,,,,
Center Street PAC,AZ,10/25/22,10/30/22,958,rv,Mark Kelly,54,Blake Masters,36,,,,,,,,,,
Wick,AZ,10/26/22,10/30/22,1122,lv,Mark Kelly,49.2,Blake Masters,46.9,,,,,,,,,,
Fox News/Beacon Research/Shaw & Co. Research,GA,10/26/22,10/30/22,1002,rv,Raphael Warnock,44,Herschel Junior Walker,43,,,,,,,,,,
Meredith College,NC,10/27/22,10/30/22,724,rv,Cheri Beasley,42.7,Ted Budd,43.9,,,,,,,,,,
Cygnal,OH,10/26/22,10/30/22,1510,lv,Tim Ryan,43.7,J.D. Vance,48.2,,,,,,,,,,
Fox News/Beacon Research/Shaw & Co. Research,PA,10/26/22,10/30/22,1005,rv,John Fetterman,45,Mehmet Oz,42,,,,,,,,,,
Suffolk University,PA,10/27/22,10/30/22,500,lv,John Fetterman,46.6,Mehmet Oz,44.8,,,,,,,,,,
Hill Research Consultants,UT,10/29/22,10/30/22,500,lv,Evan McMullin,46,Mike Lee,47,,,,,,,,,,
Wick,WI,10/26/22,10/30/22,1089,lv,Mandela Barnes,46.1,Ron Johnson,50.2,,,,,,,,,,
Fox News/Beacon Research/Shaw & Co. Research,WI,10/26/22,10/30/22,1000,rv,Mandela Barnes,45,Ron Johnson,48,,,,,,,,,,
Cygnal,AL,10/27/22,10/29/22,616,lv,Will Boyd,27.5,Katie Britt,57.1,,,,,,,,,,
Emerson College,CO,10/26/22,10/29/22,1000,lv,Michael Bennet,51.4,Joe O'Dea,43.3,,,,,,,,,,
Emerson College,KS,10/27/22,10/29/22,1000,lv,Mark R. Holland,32.6,Jerry Moran,54.2,,,,,,,,,,
Emerson College,NC,10/27/22,10/29/22,1000,lv,Cheri Beasley,45.7,Ted Budd,51.4,,,,,,,,,,
Saint Anselm College,NH,10/28/22,10/29/22,1541,lv,Maggie Hassan,47,Donald C. Bolduc,48,,,,,,,,,,
Emerson College,NV,10/26/22,10/29/22,2000,lv,Catherine Cortez Masto,45.8,Adam Paul Laxalt,51,,,,,,,,,,
The Polling Company Inc.,NY,10/27/22,10/29/22,501,lv,Charles E. Schumer,50,Joe Pinion,38,,,,,,,,,,
Emerson College,WI,10/27/22,10/29/22,1000,lv,Mandela Barnes,46.4,Ron Johnson,51,,,,,,,,,,
Amber Integrated,OK,10/26/22,10/28/22,501,lv,Madison Horn,38,James Lankford,52,,,,,,,,,,
Amber Integrated,OKS,10/26/22,10/28/22,501,lv,Kendra Horn,41,Markwayne Mullin,52,,,,,,,,,,
Emerson College,MO,10/26/22,10/28/22,1000,lv,Trudy Busch Valentine,40.1,Eric Schmitt,53.6,,,,,,,,,,
Suffolk University,NV,10/24/22,10/28/22,500,lv,Catherine Cortez Masto,45,Adam Paul Laxalt,44,,,,,,,,,,
Data for Progress,NY,10/26/22,10/28/22,818,lv,Charles E. Schumer,56,Joe Pinion,39,,,,,,,,,,
Cygnal,OH,10/24/22,10/28/22,1776,lv,Tim Ryan,43.1,J.D. Vance,47.7,,,,,,,,,,
Ascend Action,OK,10/24/22,10/28/22,749,lv,Madison Horn,34,James Lankford,51,,,,,,,,,,
Emerson College,OK,10/25/22,10/28/22,1000,lv,Madison Horn,34.2,James Lankford,61.5,,,,,,,,,,
Ascend Action,OKS,10/24/22,10/28/22,749,lv,Kendra Horn,41,Markwayne Mullin,47,,,,,,,,,,
Emerson College,OKS,10/25/22,10/28/22,1000,lv,Kendra Horn,36.3,Markwayne Mullin,58.9,,,,,,,,,,
Muhlenberg College,PA,10/24/22,10/28/22,460,lv,John Fetterman,47,Mehmet Oz,47,,,,,,,,,,
co/efficient,PA,10/26/22,10/28/22,1716,lv,John Fetterman,45,Mehmet Oz,48,,,,,,,,,,
Emerson College,UT,10/25/22,10/28/22,825,lv,Evan McMullin,39.8,Mike Lee,49.6,,,,,,,,,,
Trafalgar Group,WA,10/25/22,10/28/22,1207,lv,Patty Murray,49.4,Tiffany Smiley,48.2,,,,,,,,,,
University of Georgia School of Public and International Affairs,GA,10/16/22,10/27/22,1022,lv,Raphael Warnock,45.2,Herschel Junior Walker,45.5,,,,,,,,,,
Siena College/The New York Times Upshot,GA,10/24/22,10/27/22,604,lv,Raphael Warnock,47,Herschel Junior Walker,44,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,GA,10/27/22,10/27/22,550,lv,Raphael Warnock,45.3,Herschel Junior Walker,47.5,,,,,,,,,,
Cygnal,IA,10/26/22,10/27/22,600,lv,Michael Franken,42.7,Chuck Grassley,53.9,,,,,,,,,,
Susquehanna Polling & Research Inc.,NV,10/24/22,10/27/22,500,lv,Catherine Cortez Masto,42.5,Adam Paul Laxalt,48.1,,,,,,,,,,
OH Predictive Insights,NV,10/24/22,10/27/22,600,lv,Catherine Cortez Masto,43,Adam Paul Laxalt,41,,,,,,,,,,
Wick,PA,10/26/22,10/27/22,1000,lv,John Fetterman,45.9,Mehmet Oz,47.6,,,,,,,,,,
OH Predictive Insights,UT,10/25/22,10/27/22,600,lv,Evan McMullin,36,Mike Lee,51,,,,,,,,,,
Triton Polling & Research,WA,10/26/22,10/27/22,506,lv,Patty Murray,50.6,Tiffany Smiley,45.4,,,,,,,,,,
Long Island University,CT,10/24/22,10/26/22,1004,a,Richard Blumenthal,51,Leora R. Levy,26,,,,,,,,,,
BSP Research/Shaw & Company Research,AZ,10/19/22,10/26/22,669,lv,Mark Kelly,47,Blake Masters,43,,,,,,,,,,
BSP Research/Shaw & Company Research,AZ,10/19/22,10/26/22,1000,rv,Mark Kelly,44,Blake Masters,40,,,,,,,,,,
"Fabrizio, Lee & Associates",AZ,10/24/22,10/26/22,800,lv,Mark Kelly,49,Blake Masters,49,,,,,,,,,,
"Fabrizio, Lee & Associates",AZ,10/24/22,10/26/22,800,lv,Mark Kelly,47,Blake Masters,46,,,,,,,,,,
Siena College/The New York Times Upshot,AZ,10/24/22,10/26/22,604,lv,Mark Kelly,51,Blake Masters,45,,,,,,,,,,
OH Predictive Insights,AZ,10/24/22,10/26/22,600,lv,Mark Kelly,48,Blake Masters,46,,,,,,,,,,
co/efficient,NH,10/25/22,10/26/22,1098,lv,Maggie Hassan,45,Donald C. Bolduc,45,,,,,,,,,,
Echelon Insights,NV,10/24/22,10/26/22,500,lv,Catherine Cortez Masto,45,Adam Paul Laxalt,45,,,,,,,,,,
Echelon Insights,NV,10/24/22,10/26/22,500,lv,Catherine Cortez Masto,46,Adam Paul Laxalt,48,,,,,,,,,,
Long Island University,NY,10/24/22,10/26/22,1001,a,Charles E. Schumer,54,Joe Pinion,27,,,,,,,,,,
Center Street PAC,OH,10/24/22,10/26/22,946,rv,Tim Ryan,42,J.D. Vance,40,,,,,,,,,,
Center Street PAC,OH,10/24/22,10/26/22,508,lv,Tim Ryan,47,J.D. Vance,42,,,,,,,,,,
Cygnal,OH,10/22/22,10/26/22,1817,lv,Tim Ryan,43.7,J.D. Vance,48.7,,,,,,,,,,
YouGov,PA,10/11/22,10/26/22,850,lv,John Fetterman,48.1,Mehmet Oz,42.4,,,,,,,,,,
Siena College/The New York Times Upshot,PA,10/24/22,10/26/22,620,lv,John Fetterman,49,Mehmet Oz,44,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,PA,10/26/22,10/26/22,750,lv,John Fetterman,44.8,Mehmet Oz,47.5,,,,,,,,,,
Data for Progress,VT,10/21/22,10/26/22,1039,lv,Peter Welch,63,Gerald Malloy,32,,,,,,,,,,
University of Massachusetts Lowell,NH,10/14/22,10/25/22,600,lv,Maggie Hassan,51,Donald C. Bolduc,41,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,AZ,10/24/22,10/25/22,550,lv,Mark Kelly,45,Blake Masters,43,,,,,,,,,,
co/efficient,CO,10/24/22,10/25/22,826,lv,Michael Bennet,49.9,Joe O'Dea,34.4,,,,,,,,,,
co/efficient,GA,10/24/22,10/25/22,946,lv,Raphael Warnock,43.6,Herschel Junior Walker,47,,,,,,,,,,
Moore Information,GA,10/22/22,10/25/22,800,lv,Raphael Warnock,42,Herschel Junior Walker,46,,,,,,,,,,
Civiqs,IA,10/22/22,10/25/22,623,lv,Michael Franken,44,Chuck Grassley,52,,,,,,,,,,
Civiqs,IL,10/22/22,10/25/22,659,lv,Tammy Duckworth,56,Kathy Salvi,40,,,,,,,,,,
Remington Research Group,MO,10/24/22,10/25/22,1011,lv,Trudy Busch Valentine,42,Eric Schmitt,51,,,,,,,,,,
Trafalgar Group,NV,10/23/22,10/25/22,1100,lv,Catherine Cortez Masto,45.6,Adam Paul Laxalt,49.8,,,,,,,,,,
Civiqs,NY,10/22/22,10/25/22,593,lv,Charles E. Schumer,56,Joe Pinion,41,,,,,,,,,,
University of North Florida,FL,10/17/22,10/24/22,622,lv,Val Demings,43,Marco Rubio,54,,,,,,,,,,
Rasmussen Reports/Pulse Opinion Research,GA,10/23/22,10/24/22,1053,lv,Raphael Warnock,43,Herschel Junior Walker,48,,,,,,,,,,
Emerson College,IL,10/20/22,10/24/22,1000,lv,Tammy Duckworth,49.1,Kathy Salvi,39.3,,,,,,,,,,
Siena College/The New York Times Upshot,NV,10/19/22,10/24/22,885,lv,Catherine Cortez Masto,47,Adam Paul Laxalt,47,,,,,,,,,,
Emerson College,NY,10/20/22,10/24/22,1000,lv,Charles E. Schumer,52.8,Joe Pinion,39.6,,,,,,,,,,
Cygnal,OH,10/20/22,10/24/22,1886,lv,Tim Ryan,44.2,J.D. Vance,48.3,,,,,,,,,,
YouGov,PA,10/21/22,10/24/22,1084,lv,John Fetterman,51,Mehmet Oz,49,,,,,,,,,,
Quinnipiac University,CT,10/19/22,10/23/22,1879,lv,Richard Blumenthal,56,Leora R. Levy,41,,,,,,,,,,
Data for Progress,FL,10/19/22,10/23/22,1251,lv,Val Demings,44,Marco Rubio,51,,,,,,,,,,
Trafalgar Group,GA,10/21/22,10/23/22,1076,lv,Raphael Warnock,46.5,Herschel Junior Walker,48.9,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,NH,10/23/22,10/23/22,600,lv,Maggie Hassan,47.6,Donald C. Bolduc,47.1,,,,,,,,,,
Phillips Academy,NV,10/22/22,10/23/22,1052,lv,Catherine Cortez Masto,48.9,Adam Paul Laxalt,47.2,,,,,,,,,,
Baldwin Wallace University,OH,10/20/22,10/23/22,1068,lv,Tim Ryan,50.2,J.D. Vance,46,,,,,,,,,,
Franklin & Marshall College,PA,10/14/22,10/23/22,384,lv,John Fetterman,49,Mehmet Oz,45,,,,,,,,,,
Franklin & Marshall College,PA,10/14/22,10/23/22,620,rv,John Fetterman,48,Mehmet Oz,43,,,,,,,,,,
Patriot Polling,WI,10/20/22,10/23/22,801,rv,Mandela Barnes,43.2,Ron Johnson,51.6,,,,,,,,,,
Alaska Survey Research,AK,10/19/22,10/22/22,1276,lv,Patricia R. Chesbro,16.4,Lisa Murkowski,40.8,,,,,,,Kelly C. Tshibaka,38.9,Buzz A. Kelley,3.9
Cygnal,NC,10/20/22,10/22/22,600,lv,Cheri Beasley,43.1,Ted Budd,46.9,,,,,,,,,,
Garin-Hart-Yang Research Group,NV,10/19/22,10/22/22,501,lv,Catherine Cortez Masto,47,Adam Paul Laxalt,46,,,,,,,,,,
Cygnal,OH,10/18/22,10/22/22,1547,lv,Tim Ryan,43.3,J.D. Vance,46.9,,,,,,,,,,
Moore Information,WA,10/20/22,10/22/22,500,lv,Patty Murray,46,Tiffany Smiley,46,,,,,,,,,,
The Polling Company Inc.,WA,10/20/22,10/22/22,500,lv,Patty Murray,48,Tiffany Smiley,42,,,,,,,,,,
Data for Progress,WI,10/14/22,10/22/22,1376,lv,Mandela Barnes,46,Ron Johnson,51,,,,,,,,,,
co/efficient,AZ,10/20/22,10/21/22,1111,lv,Mark Kelly,46.6,Blake Masters,44.8,,,,,,,,,,
Emerson College,CT,10/19/22,10/21/22,1000,lv,Richard Blumenthal,54,Leora R. Levy,41.7,,,,,,,,,,
Garin-Hart-Yang Research Group,GA,10/19/22,10/21/22,503,lv,Raphael Warnock,48,Herschel Junior Walker,45,,,,,,,,,,
Emerson College,SD,10/19/22,10/21/22,1500,lv,Brian L. Bengs,27,John R. Thune,58,,,,,,,,,,
ActiVote,CA,7/22/22,10/20/22,208,lv,Alex Padilla,65,Mark P. Meuser,35,,,,,,,,,,
Stetson University Center for Public Opinion Research,FL,10/16/22,10/20/22,644,lv,Val Demings,45,Marco Rubio,52,,,,,,,,,,
Marist College,NC,10/17/22,10/20/22,1130,rv,Cheri Beasley,44,Ted Budd,44,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,NV,10/20/22,10/20/22,550,lv,Catherine Cortez Masto,46.3,Adam Paul Laxalt,48.2,,,,,,,,,,
Marist College,OH,10/17/22,10/20/22,1141,rv,Tim Ryan,45,J.D. Vance,46,,,,,,,,,,
Cygnal,OH,10/16/22,10/20/22,1540,lv,Tim Ryan,44,J.D. Vance,47,,,,,,,,,,
Rasmussen Reports/Pulse Opinion Research,PA,10/19/22,10/20/22,972,lv,John Fetterman,45,Mehmet Oz,43,,,,,,,,,,
Echelon Insights,PA,10/18/22,10/20/22,500,rv,John Fetterman,46,Mehmet Oz,43,,,,,,,,,,
Public Policy Polling,WA,10/19/22,10/20/22,782,lv,Patty Murray,52,Tiffany Smiley,42,,,,,,,,,,
co/efficient,WA,10/19/22,10/20/22,1181,lv,Patty Murray,48,Tiffany Smiley,45,,,,,,,,,,
YouGov,CO,10/11/22,10/19/22,709,lv,Michael Bennet,56,Joe O'Dea,42,,,,,,,,,,
Tarrance Group,IA,10/15/22,10/19/22,600,lv,Michael Franken,42,Chuck Grassley,53,,,,,,,,,,
Trafalgar Group,NC,10/16/22,10/19/22,1081,lv,Cheri Beasley,44.2,Ted Budd,48.4,,,,,,,,,,
