POLLSTER,START,END,SAMPLE,POPULATION,DEMPCT,REPPCT,OTHERPCT
OnMessage Inc.,9/12/22,9/15/22,1600,lv,43,46,
Rasmussen Reports/Pulse Opinion Research,9/11/22,9/15/22,2500,lv,42,43,
Data for Progress,8/29/22,9/15/22,4258,lv,45,47,
Siena College/The New York Times Upshot,9/6/22,9/14/22,1399,lv,47,46,
Marquette University Law School,9/7/22,9/14/22,1282,rv,47,41,
Morning Consult,9/12/22,9/14/22,7947,lv,48,45,
Siena College/The New York Times Upshot,9/6/22,9/14/22,1399,rv,46,44,
Ipsos,9/12/22,9/13/22,,lv,42,43,
Hart Research Associates/Public Opinion Strategies,9/9/22,9/13/22,1000,rv,46,46,
Ipsos,9/12/22,9/13/22,1003,a,37,33,
YouGov,9/10/22,9/13/22,1307,rv,43.2,39.3,
Fox News/Beacon Research/Shaw & Co. Research,9/9/22,9/12/22,1201,rv,44,41,
Public Religion Research Institute,9/1/22,9/11/22,,,37,36,
Public Religion Research Institute,9/1/22,9/11/22,2523,a,37,34,
The Winston Group,9/9/22,9/11/22,1000,rv,45,45,
Global Strategy Group/GBAO (Navigator Research),9/8/22,9/11/22,1001,rv,48,42,
Morning Consult,9/9/22,9/11/22,8384,lv,48,44,
Morning Consult,9/9/22,9/11/22,2006,rv,47,42,
Morning Consult,9/8/22,9/10/22,7947,lv,48,44,
IBD/TIPP,9/7/22,9/9/22,1145,rv,48,46,
Big Village/Opinion Research Corporation,9/7/22,9/9/22,1008,a,41,36.8,
Big Village/Opinion Research Corporation,9/7/22,9/9/22,857,rv,45.9,40.6,
Trafalgar Group,9/7/22,9/9/22,1081,lv,42.2,47.9,
Morning Consult,9/7/22,9/9/22,7947,lv,48,44,
"Cor Services, Inc.",9/6/22,9/8/22,534,lv,44,45,
Harris Insights & Analytics,9/7/22,9/8/22,1854,rv,51,49,
Morning Consult,9/6/22,9/8/22,7947,lv,48,45,
Rasmussen Reports/Pulse Opinion Research,9/4/22,9/8/22,2500,lv,42,46,
Ipsos,9/6/22,9/7/22,1003,a,36,34,
Morning Consult,9/5/22,9/7/22,7947,lv,48,45,
Echelon Insights,8/31/22,9/7/22,1228,lv,46,46,
Morning Consult,9/4/22,9/6/22,7947,lv,47,44,
YouGov,9/3/22,9/6/22,1337,rv,44.2,37.5,
YouGov,9/2/22,9/6/22,1244,rv,45,40,
YouGov,9/2/22,9/6/22,1634,a,39,34,
Morning Consult,9/3/22,9/5/22,7947,lv,47,45,
Morning Consult,9/2/22,9/4/22,8909,lv,47,45,
OnMessage Inc.,9/1/22,9/3/22,800,lv,44,46,
Morning Consult,9/1/22,9/3/22,8731,lv,48,45,
Morning Consult,8/31/22,9/2/22,8631,lv,47,45,
Opinion Savvy/InsiderAdvantage,9/1/22,9/1/22,500,lv,44.7,43.5,
Morning Consult,8/30/22,9/1/22,8724,lv,48,45,
Marist College,8/29/22,9/1/22,1151,rv,48,44,
Rasmussen Reports/Pulse Opinion Research,8/28/22,9/1/22,2500,lv,42,47,
Morning Consult,8/29/22,8/31/22,9039,lv,47,45,
Global Strategy Group/GBAO (Navigator Research),8/26/22,8/31/22,1000,rv,48,43,
YouGov,8/28/22,8/30/22,1342,rv,46.4,37.7,
Trafalgar Group,8/28/22,8/30/22,1084,lv,41.4,47.2,
Morning Consult,8/28/22,8/30/22,9377,lv,48,45,
Morning Consult,8/27/22,8/29/22,9546,lv,48,44,
Quinnipiac University,8/25/22,8/29/22,1584,a,46,42,
Quinnipiac University,8/25/22,8/29/22,1419,rv,47,43,
SurveyMonkey,8/22/22,8/29/22,20799,a,39,38,
Morning Consult,8/26/22,8/28/22,2007,rv,47,42,
Morning Consult,8/26/22,8/28/22,9177,lv,48,44,
Data for Progress,8/12/22,8/28/22,8876,lv,45,46,
Morning Consult,8/25/22,8/27/22,8685,lv,48,45,
Big Village/Opinion Research Corporation,8/24/22,8/26/22,1005,a,43.6,35.7,
Big Village/Opinion Research Corporation,8/24/22,8/26/22,848,rv,48.3,40.8,
YouGov,8/24/22,8/26/22,1854,lv,45,47,
Morning Consult,8/24/22,8/26/22,8696,lv,48,44,
Morning Consult,8/23/22,8/25/22,8886,lv,48,44,
WPA Intelligence (WPAi),8/22/22,8/25/22,1000,rv,44,42,
WPA Intelligence (WPAi),8/22/22,8/25/22,,lv,47,44,
Rasmussen Reports/Pulse Opinion Research,8/21/22,8/25/22,2500,lv,42,47,
Fabrizio Lee & Associates/Impact Research,8/17/22,8/25/22,1313,rv,47,44,
Emerson College,8/23/22,8/24/22,1000,rv,43.6,44.6,
Morning Consult,8/22/22,8/24/22,9291,lv,47,45,
McLaughlin & Associates,8/20/22,8/24/22,1000,lv,45,45,
NewsNation,8/22/22,8/23/22,1028,rv,42.18,44.98,
Morning Consult,8/21/22,8/23/22,9387,lv,47,45,
YouGov,8/20/22,8/23/22,1318,rv,43.7,38.5,
Morning Consult,8/20/22,8/22/22,9402,lv,48,45,
Echelon Insights,8/19/22,8/22/22,1054,rv,50,42,
Echelon Insights,8/19/22,8/22/22,1054,lv,48,44,
YouGov,8/18/22,8/22/22,1563,a,38,33,
YouGov,8/18/22,8/22/22,1188,rv,45,39,
SSRS,8/5/22,8/22/22,1815,rv,47,44,
YouGov,8/10/22,8/21/22,1796,lv,49,45,
Ipsos,8/12/22,8/21/22,5049,a,34,31,
Morning Consult,8/19/22,8/21/22,2005,rv,47,42,
Cygnal,8/19/22,8/21/22,5647,lv,47.2,46.5,
Morning Consult,8/19/22,8/21/22,9057,lv,48,45,
Morning Consult,8/18/22,8/20/22,8852,lv,48,45,
Morning Consult,8/17/22,8/19/22,8914,lv,47,45,
J.L. Partners,8/16/22,8/18/22,1023,a,45,41,
Morning Consult,8/16/22,8/18/22,9203,lv,48,44,
Rasmussen Reports/Pulse Opinion Research,8/14/22,8/18/22,2500,lv,41,46,
ALG Research,8/10/22,8/17/22,1000,lv,40,44,
Morning Consult,8/15/22,8/17/22,9382,lv,47,45,
Trafalgar Group,8/14/22,8/16/22,1091,lv,41.6,46.9,
Morning Consult,8/14/22,8/16/22,9382,lv,48,44,
YouGov,8/13/22,8/16/22,1331,rv,45.1,38.7,
NBC News/The Wall Street Journal,8/12/22,8/16/22,1000,rv,45,47,
Morning Consult,8/13/22,8/15/22,9301,lv,47,44,
Morning Consult,8/12/22,8/14/22,2005,rv,46,42,
Morning Consult,8/12/22,8/14/22,8938,lv,48,45,
OnMessage Inc.,8/11/22,8/14/22,800,lv,43,47,
Pew Research Center,8/1/22,8/14/22,6929,rv,44,42,
Morning Consult,8/11/22,8/13/22,8791,lv,48,45,
Big Village/Opinion Research Corporation,8/10/22,8/12/22,1006,a,40.9,37.2,
Big Village/Opinion Research Corporation,8/10/22,8/12/22,828,rv,46.2,41.8,
Morning Consult,8/10/22,8/12/22,8693,lv,47,45,
Morning Consult,8/9/22,8/11/22,8535,lv,47,45,
Rasmussen Reports/Pulse Opinion Research,8/7/22,8/11/22,2500,lv,43,46,
Morning Consult,8/8/22,8/10/22,10434,rv,45,43,
YouGov,8/7/22,8/9/22,1331,rv,44.3,38.4,
Morning Consult,8/7/22,8/9/22,10500,rv,45,42,
Fox News/Beacon Research/Shaw & Co. Research,8/6/22,8/9/22,1002,rv,41,41,
Morning Consult,8/6/22,8/8/22,10871,rv,46,42,
The Bullfinch Group,8/5/22,8/8/22,1208,a,44,42,
The Bullfinch Group,8/5/22,8/8/22,1008,rv,45,44,
Morning Consult,8/5/22,8/7/22,2005,rv,44,43,
Léger,8/5/22,8/7/22,1002,a,35,31,
Morning Consult,8/5/22,8/7/22,10595,rv,45,42,
Zogby Interactive/JZ Analytics,8/4/22,8/6/22,891,lv,44.8,44.3,
Morning Consult,8/4/22,8/6/22,10408,rv,46,42,
Morning Consult,8/3/22,8/5/22,10122,rv,45,42,
IBD/TIPP,8/2/22,8/4/22,1182,rv,46,46,
Morning Consult,8/2/22,8/4/22,10137,rv,45,42,
Rasmussen Reports/Pulse Opinion Research,7/31/22,8/4/22,2500,lv,43,46,
Morning Consult,8/1/22,8/3/22,10267,rv,45,43,
Ipsos,8/1/22,8/2/22,,rv,39,36,
Ipsos,8/1/22,8/2/22,1004,a,35,33,
Data for Progress,8/1/22,8/2/22,1377,lv,44,48,
Morning Consult,7/31/22,8/2/22,10810,rv,45,43,
YouGov,7/30/22,8/2/22,1325,rv,44,38.7,
Ipsos,7/21/22,8/1/22,884,lv,38,40,
Opinion Savvy/InsiderAdvantage,7/31/22,8/1/22,800,lv,44,45,
Morning Consult,7/30/22,8/1/22,10979,rv,45,42,
YouGov,7/28/22,8/1/22,1557,a,39,32,
YouGov,7/28/22,8/1/22,1153,rv,45,39,
Monmouth University,7/28/22,8/1/22,808,a,50,43,
Monmouth University,7/28/22,8/1/22,751,rv,49,46,
Ipsos,7/21/22,8/1/22,1538,a,30,30,
Morning Consult,7/29/22,7/31/22,2006,rv,45,43,
Morning Consult,7/29/22,7/31/22,10658,rv,45,42,
Morning Consult,7/28/22,7/30/22,10146,rv,46,42,
YouGov,7/27/22,7/29/22,1537,lv,43,45,
Big Village/Opinion Research Corporation,7/27/22,7/29/22,1014,a,41.7,37.5,
Big Village/Opinion Research Corporation,7/27/22,7/29/22,823,rv,45.9,42.3,
Morning Consult,7/27/22,7/29/22,10314,rv,46,42,
Harris Insights & Analytics,7/27/22,7/28/22,1885,rv,50,50,
OnMessage Inc.,7/26/22,7/28/22,800,lv,44,45,
Morning Consult,7/26/22,7/28/22,10577,rv,46,41,
Rasmussen Reports/Pulse Opinion Research,7/24/22,7/28/22,2500,lv,41,46,
Morning Consult,7/25/22,7/27/22,10926,rv,45,42,
Morning Consult,7/24/22,7/26/22,11158,rv,45,42,
YouGov,7/23/22,7/26/22,1311,rv,43.6,38.3,
Morning Consult,7/23/22,7/25/22,11141,rv,45,42,
Suffolk University,7/22/22,7/25/22,1000,rv,44.3,40.1,
Data for Progress,7/13/22,7/25/22,6772,lv,45,48,
The Winston Group,7/23/22,7/24/22,1000,rv,47,41,
Morning Consult,7/22/22,7/24/22,2006,rv,45,41,
NewsNation,7/22/22,7/24/22,1000,rv,43.73,42.52,
Morning Consult,7/22/22,7/24/22,10767,rv,45,42,
McLaughlin & Associates,7/21/22,7/24/22,1000,lv,43,48.2,
Morning Consult,7/21/22,7/23/22,10354,rv,44,42,
Trafalgar Group,7/20/22,7/22/22,1085,lv,40.2,48.3,
Morning Consult,7/20/22,7/22/22,10271,rv,45,42,
Morning Consult,7/19/22,7/21/22,10487,rv,45,42,
Rasmussen Reports/Pulse Opinion Research,7/17/22,7/21/22,2500,lv,39,49,
Emerson College,7/19/22,7/20/22,1078,rv,43.7,44.7,
Cygnal,7/18/22,7/20/22,5841,lv,46.7,47.3,
Morning Consult,7/18/22,7/20/22,10763,rv,45,42,
Georgetown University (Battleground),7/16/22,7/20/22,800,rv,48,46,
Morning Consult,7/17/22,7/19/22,11109,rv,45,42,
YouGov,7/16/22,7/19/22,1278,rv,42.6,40.1,
Morning Consult,7/16/22,7/18/22,11189,rv,45,42,
Echelon Insights,7/15/22,7/18/22,1022,lv,48,44,
Echelon Insights,7/15/22,7/18/22,1022,rv,49,42,
Quinnipiac University,7/14/22,7/18/22,1523,a,43,44,
Quinnipiac University,7/14/22,7/18/22,1367,rv,45,44,
Morning Consult,7/15/22,7/17/22,2005,rv,45,41,
Morning Consult,7/15/22,7/17/22,10578,rv,45,42,
Morning Consult,7/14/22,7/16/22,10168,rv,45,42,
GQR Research (GQRR),7/8/22,7/16/22,1000,rv,50,48,
Big Village/Opinion Research Corporation,7/13/22,7/15/22,1008,a,39.3,38,
Big Village/Opinion Research Corporation,7/13/22,7/15/22,851,rv,44.5,40.7,
Morning Consult,7/13/22,7/15/22,9936,rv,45,42,
Morning Consult,7/12/22,7/14/22,10409,rv,45,42,
Rasmussen Reports/Pulse Opinion Research,7/10/22,7/14/22,2500,lv,39,47,
Morning Consult,7/11/22,7/13/22,10391,rv,45,42,
Fox News/Beacon Research/Shaw & Co. Research,7/10/22,7/13/22,1001,rv,41,44,
SSRS,6/13/22,7/13/22,1203,rv,46,46,
Morning Consult,7/10/22,7/12/22,10821,rv,45,42,
YouGov,7/9/22,7/11/22,1304,rv,43,39.6,
Morning Consult,7/9/22,7/11/22,10712,rv,45,42,
YouGov,7/8/22,7/11/22,1672,a,37,32,
YouGov,7/8/22,7/11/22,1262,rv,43,39,
Morning Consult,7/8/22,7/10/22,2005,rv,46,42,
Morning Consult,7/8/22,7/10/22,11151,rv,45,42,
NBC News/The Wall Street Journal,7/7/22,7/10/22,,rv,42,44,
Axis Research,7/5/22,7/10/22,1219,lv,46,41,
Morning Consult,7/7/22,7/9/22,11163,rv,45,42,
Morning Consult,7/6/22,7/8/22,11515,rv,45,42,
Rasmussen Reports/Pulse Opinion Research,7/5/22,7/7/22,2000,lv,40,48,
Siena College/The New York Times Upshot,7/5/22,7/7/22,849,rv,41,40,
Siena College/The New York Times Upshot,7/5/22,7/7/22,849,lv,43,44,
OnMessage Inc.,7/5/22,7/7/22,800,lv,42,47,
Morning Consult,7/5/22,7/7/22,12161,rv,45,42,
Ipsos,7/5/22,7/6/22,1003,a,34,35,
Opinion Savvy/InsiderAdvantage,7/5/22,7/6/22,825,lv,42,50,
Morning Consult,7/4/22,7/6/22,12945,rv,45,42,
PureSpectrum,6/8/22,7/6/22,24414,a,52,48,
Ipsos,6/27/22,7/5/22,887,lv,39,38,
Morning Consult,7/3/22,7/5/22,13605,rv,45,42,
YouGov,7/2/22,7/5/22,1343,rv,42.5,40.4,
Data for Progress,7/1/22,7/5/22,1353,lv,45,46,
Ipsos,6/27/22,7/5/22,1549,a,29,29,
Morning Consult,7/2/22,7/4/22,13429,rv,45,42,
Big Village/Opinion Research Corporation,7/1/22,7/3/22,1008,a,40.5,36.3,
Big Village/Opinion Research Corporation,7/1/22,7/3/22,827,rv,47.4,41.6,
Morning Consult,7/1/22,7/3/22,12508,rv,46,42,
Morning Consult,6/30/22,7/2/22,11619,rv,45,41,
Morning Consult,6/29/22,7/1/22,11128,rv,45,42,
Center Street PAC,6/30/22,6/30/22,1084,rv,41,45,
Center Street PAC,6/30/22,6/30/22,547,lv,41,49,
Harris Insights & Analytics,6/29/22,6/30/22,1311,rv,50,50,
Morning Consult,6/28/22,6/30/22,11370,rv,45,42,
Rasmussen Reports/Pulse Opinion Research,6/26/22,6/30/22,2500,lv,42,47,
Emerson College,6/28/22,6/29/22,1271,rv,43.3,45.7,
Morning Consult,6/27/22,6/29/22,11802,rv,45,42,
Morning Consult,6/26/22,6/28/22,12498,rv,45,42,
YouGov,6/25/22,6/28/22,776,rv,40,45,
"Cor Services, Inc.",6/25/22,6/27/22,518,lv,42,46,
Morning Consult,6/25/22,6/27/22,12652,rv,45,42,
YouGov,6/24/22,6/27/22,1237,rv,45,38,
YouGov,6/24/22,6/27/22,1630,a,39,32,
Monmouth University,6/23/22,6/27/22,978,a,47,47,
Monmouth University,6/23/22,6/27/22,910,rv,46,48,
Public Opinion Strategies,6/22/22,6/27/22,1000,rv,42,39,
Morning Consult,6/24/22,6/26/22,12130,rv,44,42,
Marist College,6/24/22,6/25/22,868,rv,48,41,
Morning Consult,6/24/22,6/25/22,2005,rv,45,42,
Morning Consult,6/23/22,6/25/22,11503,rv,44,42,
Morning Consult,6/22/22,6/24/22,11267,rv,44,43,
Echelon Insights,6/17/22,6/24/22,2031,rv,45,46,
Morning Consult,6/21/22,6/23/22,11782,rv,44,43,
Trafalgar Group,6/20/22,6/23/22,1079,lv,39.8,49.4,
Rasmussen Reports/Pulse Opinion Research,6/19/22,6/23/22,2500,lv,40,48,
Morning Consult,6/20/22,6/22/22,12180,rv,44,43,
McLaughlin & Associates,6/17/22,6/22/22,1000,lv,44,48,
NewsNation,6/20/22,6/21/22,1006,rv,42.58,42.76,
Morning Consult,6/19/22,6/21/22,13077,rv,44,43,
YouGov,6/17/22,6/21/22,770,rv,41,45,
Morning Consult,6/18/22,6/20/22,13506,rv,44,42,
Echelon Insights,6/17/22,6/20/22,1030,lv,47,46,
Echelon Insights,6/17/22,6/20/22,1030,rv,47,45,
Morning Consult,6/17/22,6/20/22,2004,rv,42,42,
OnMessage Inc.,6/17/22,6/19/22,800,lv,43,47,
Morning Consult,6/17/22,6/19/22,11952,rv,44,42,
Cygnal,6/16/22,6/18/22,5753,lv,44.7,48.9,
Morning Consult,6/16/22,6/18/22,9812,rv,44,42,
Big Village/Opinion Research Corporation,6/15/22,6/17/22,1012,a,38.8,36.9,
Big Village/Opinion Research Corporation,6/15/22,6/17/22,836,rv,43.6,42.2,
Morning Consult,6/15/22,6/17/22,7947,rv,44,42,
Morning Consult,6/14/22,6/16/22,8728,rv,44,42,
Rasmussen Reports/Pulse Opinion Research,6/12/22,6/16/22,2500,lv,41,46,
Morning Consult,6/13/22,6/15/22,9619,rv,44,42,
Suffolk University,6/12/22,6/15/22,1000,rv,40,39.5,
Morning Consult,6/12/22,6/14/22,11179,rv,44,42,
YouGov,6/11/22,6/14/22,749,rv,42,46,
Morning Consult,6/11/22,6/13/22,11169,rv,44,42,
Fox News/Beacon Research/Shaw & Co. Research,6/10/22,6/13/22,1002,rv,44,47,
YouGov,6/10/22,6/13/22,1541,a,38,34,
YouGov,6/10/22,6/13/22,1246,rv,43,39,
GQR Research (GQRR),6/4/22,6/12/22,1000,rv,47,49,
Morning Consult,6/10/22,6/12/22,2005,rv,44,42,
Morning Consult,6/10/22,6/12/22,9997,rv,44,42,
Morning Consult,6/9/22,6/11/22,9332,rv,43,42,
Morning Consult,6/8/22,6/10/22,9161,rv,43,42,
Morning Consult,6/7/22,6/9/22,10087,rv,43,42,
Rasmussen Reports/Pulse Opinion Research,6/5/22,6/9/22,2500,lv,39,48,
